system_name,test_id,category,category_display,recovery_test,question,expected_tools,majority_pass,pass_count,mean_correctness,mean_relevance,mean_completeness,mean_pedagogical_quality,mean_grounding_consistency,mean_overall_score,stdev_overall_score,any_critical_error,critical_error_count,primary_error_type,observed_error_types,judge_error_occurrence_count,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,expected_tool_fulfillment,final_validation_status,recovery_triggered,recovery_successful
Full Manager,T052,visual_step_by_step,Visual Step-by-Step,No,Explain convolution visually without calling it matrix multiplication.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,MatrixComputationTool;RAGTool,RAGTool,No,No,No,No,invalid,Yes,No
Basic Tool Use,T052,visual_step_by_step,Visual Step-by-Step,No,Explain convolution visually without calling it matrix multiplication.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.6666666666666667,1.6666666666666667,2.333333333333333,1.6666666666666667,1.6666666666666667,1.8,0.5291502622129182,True,3,contradictory_answer,contradictory_answer;factual_error,3,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,,,
Manager Without Recovery,T053,visual_step_by_step,Visual Step-by-Step,No,Show why kernel sliding is different from row-by-column multiplication.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,3.333333333333333,3.333333333333333,2.6666666666666665,2.6666666666666665,3.333333333333333,3.066666666666667,0.9237604307034012,True,1,incomplete_answer,incomplete_answer,1,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Full Manager,T053,visual_step_by_step,Visual Step-by-Step,No,Show why kernel sliding is different from row-by-column multiplication.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,MatrixComputationTool;RAGTool,RAGTool,No,No,No,No,invalid,Yes,No
Direct LLM,T053,visual_step_by_step,Visual Step-by-Step,No,Show why kernel sliding is different from row-by-column multiplication.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.6666666666666665,2.0,2.0,2.1333333333333333,0.1154700538379252,True,3,factual_error,factual_error,3,,,,,,,,,
Direct LLM,T055,visual_step_by_step,Visual Step-by-Step,No,Visualize one convolution output cell from a 2x2 kernel.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,1,3.0,3.333333333333333,3.6666666666666665,3.0,3.0,3.2,0.8,True,2,calculation_error,calculation_error,2,,,,,,,,,
Basic Tool Use,T056,visual_step_by_step,Visual Step-by-Step,No,Show a step-by-step visual explanation of valid convolution.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,calculation_error,calculation_error,3,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,No,,,
Direct LLM,T056,visual_step_by_step,Visual Step-by-Step,No,Show a step-by-step visual explanation of valid convolution.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,3.0,3.0,2.6666666666666665,2.0,2.533333333333333,0.1154700538379252,True,3,calculation_error,calculation_error;factual_error,3,,,,,,,,,
Basic Tool Use,T058,visual_step_by_step,Visual Step-by-Step,No,Use a visual example to explain why a 2x3 matrix can multiply a 3x2 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,1.7333333333333334,0.4618802153517006,True,3,factual_error,factual_error,3,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,,,
Full Manager,T058,visual_step_by_step,Visual Step-by-Step,No,Use a visual example to explain why a 2x3 matrix can multiply a 3x2 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,factual_error;incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,valid,Yes,No
Manager Without Recovery,T058,visual_step_by_step,Visual Step-by-Step,No,Use a visual example to explain why a 2x3 matrix can multiply a 3x2 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,1,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,1.5275252316519468,True,2,mixed:factual_error|incomplete_answer,factual_error;incomplete_answer,2,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Direct LLM,T058,visual_step_by_step,Visual Step-by-Step,No,Use a visual example to explain why a 2x3 matrix can multiply a 3x2 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.333333333333333,2.6666666666666665,3.0,2.333333333333333,2.333333333333333,2.533333333333333,0.4163331998932265,True,2,mixed:calculation_error|factual_error,calculation_error;factual_error,2,,,,,,,,,
Basic Tool Use,T059,visual_step_by_step,Visual Step-by-Step,No,Use a visual example to explain why a 3x2 matrix cannot multiply a 3x3 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,1,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,0.5773502691896257,False,0,none,,0,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,,,
Full Manager,T059,visual_step_by_step,Visual Step-by-Step,No,Use a visual example to explain why a 3x2 matrix cannot multiply a 3x3 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0.5773502691896257,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,invalid,Yes,No
Manager Without Recovery,T059,visual_step_by_step,Visual Step-by-Step,No,Use a visual example to explain why a 3x2 matrix cannot multiply a 3x3 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer;non_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Direct LLM,T060,visual_step_by_step,Visual Step-by-Step,No,Compare convolution and matrix multiplication using a visual explanation.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,3.0,3.0,2.6666666666666665,2.0,2.533333333333333,0.1154700538379252,True,3,calculation_error,calculation_error;factual_error,3,,,,,,,,,
Basic Tool Use,T061,code_related,Code-Related,No,Write Python code to multiply two 2x2 matrices without NumPy.,CodeSandboxTool,False,0,1.6666666666666667,2.0,2.0,2.0,1.6666666666666667,1.8666666666666667,0.2309401076758502,True,3,calculation_error,calculation_error;factual_error,3,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,No,No,No,Yes,,,
Manager Without Recovery,T061,code_related,Code-Related,No,Write Python code to multiply two 2x2 matrices without NumPy.,CodeSandboxTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Manager Without Recovery,T062,code_related,Code-Related,No,Write Python code to multiply two matrices using nested loops.,CodeSandboxTool,False,0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.2666666666666666,0.3055050463303894,True,3,non_answer,non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,valid,No,No
Basic Tool Use,T062,code_related,Code-Related,No,Write Python code to multiply two matrices using nested loops.,CodeSandboxTool,False,0,2.0,2.0,2.333333333333333,2.0,2.0,2.066666666666667,0.1154700538379252,True,3,factual_error,calculation_error;factual_error,3,CodeSandboxTool,CodeSandboxTool,Yes,Yes,Yes,Yes,,,
Manager Without Recovery,T063,code_related,Code-Related,No,Write Python code to check whether two matrices can be multiplied.,CodeSandboxTool;MatrixComputationTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Basic Tool Use,T064,code_related,Code-Related,No,Write Python code for a simple 2D valid convolution.,CodeSandboxTool,True,2,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.733333333333333,1.4189197769195174,True,1,non_answer,non_answer,1,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,No,No,Yes,Yes,,,
Manager Without Recovery,T064,code_related,Code-Related,No,Write Python code for a simple 2D valid convolution.,CodeSandboxTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Full Manager,T064,code_related,Code-Related,No,Write Python code for a simple 2D valid convolution.,CodeSandboxTool,False,0,2.0,2.0,2.333333333333333,2.0,2.0,2.066666666666667,0.1154700538379252,True,3,incomplete_answer,incomplete_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Full Manager,T065,code_related,Code-Related,No,Write Python code to compute convolution output size.,CodeSandboxTool;CalculatorTool,False,1,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,0.5773502691896257,False,0,none,,0,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T065,code_related,Code-Related,No,Write Python code to compute convolution output size.,CodeSandboxTool;CalculatorTool,False,1,4.333333333333333,4.0,3.333333333333333,3.6666666666666665,4.333333333333333,3.9333333333333336,0.4163331998932267,False,0,incomplete_answer,incomplete_answer,2,CalculatorTool;CodeSandboxTool;MatrixComputationTool;RAGTool,CalculatorTool;CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Basic Tool Use,T066,code_related,Code-Related,No,Write a small NumPy example explaining matrix multiplication.,CodeSandboxTool,False,0,2.0,2.0,2.6666666666666665,2.0,2.0,2.1333333333333333,0.1154700538379252,True,3,factual_error,contradictory_answer;factual_error,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,Yes,,,
Manager Without Recovery,T067,code_related,Code-Related,No,Write a small NumPy example explaining 2D convolution.,CodeSandboxTool,False,1,2.6666666666666665,2.333333333333333,2.333333333333333,2.333333333333333,2.6666666666666665,2.466666666666667,1.7473789896108212,True,2,mixed:incomplete_answer|non_answer,incomplete_answer;non_answer,2,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,No,No,No,No,invalid,No,No
Full Manager,T068,code_related,Code-Related,No,Debug this explanation in code: the kernel is added to the matrix instead of multiplied element-wise.,CodeSandboxTool;RAGTool,True,2,4.0,4.0,3.333333333333333,3.333333333333333,4.0,3.733333333333333,1.5011106998930268,True,1,contradictory_answer,contradictory_answer,1,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T068,code_related,Code-Related,No,Debug this explanation in code: the kernel is added to the matrix instead of multiplied element-wise.,CodeSandboxTool;RAGTool,False,0,3.0,2.6666666666666665,2.0,2.0,3.333333333333333,2.6,1.2489995996796797,True,1,incomplete_answer,incomplete_answer;non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Basic Tool Use,T068,code_related,Code-Related,No,Debug this explanation in code: the kernel is added to the matrix instead of multiplied element-wise.,CodeSandboxTool;RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,contradictory_answer,contradictory_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,Yes,,,
Full Manager,T069,code_related,Code-Related,No,Debug this matrix multiplication code idea: it multiplies matching positions instead of row-by-column dot products.,CodeSandboxTool;MatrixComputationTool,False,0,2.6666666666666665,3.0,3.0,2.6666666666666665,2.6666666666666665,2.8,0.7211102550927978,True,3,incomplete_answer,contradictory_answer;incomplete_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,Yes,valid,Yes,No
Manager Without Recovery,T069,code_related,Code-Related,No,Debug this matrix multiplication code idea: it multiplies matching positions instead of row-by-column dot products.,CodeSandboxTool;MatrixComputationTool,False,1,4.0,3.6666666666666665,2.6666666666666665,3.0,4.0,3.466666666666667,1.0066445913694335,False,0,none,,0,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Basic Tool Use,T069,code_related,Code-Related,No,Debug this matrix multiplication code idea: it multiplies matching positions instead of row-by-column dot products.,CodeSandboxTool;MatrixComputationTool,False,0,2.6666666666666665,3.6666666666666665,3.6666666666666665,3.333333333333333,2.6666666666666665,3.2,0.529150262212918,True,2,mixed:calculation_error|contradictory_answer,calculation_error;contradictory_answer,2,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,Yes,Yes,No,No,,,
Basic Tool Use,T070,code_related,Code-Related,No,Write Python code that prints each step of a 2x2 matrix multiplication.,CodeSandboxTool;MatrixComputationTool,False,0,2.0,2.0,2.333333333333333,2.0,2.0,2.066666666666667,0.1154700538379252,True,3,factual_error,contradictory_answer;factual_error,3,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,Yes,Yes,No,No,,,
Full Manager,T070,code_related,Code-Related,No,Write Python code that prints each step of a 2x2 matrix multiplication.,CodeSandboxTool;MatrixComputationTool,False,0,2.0,2.333333333333333,2.6666666666666665,2.0,2.0,2.2,0.1999999999999999,True,3,calculation_error,calculation_error,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T070,code_related,Code-Related,No,Write Python code that prints each step of a 2x2 matrix multiplication.,CodeSandboxTool;MatrixComputationTool,False,0,2.333333333333333,2.333333333333333,2.0,2.0,2.333333333333333,2.2,1.3114877048604,True,2,incomplete_answer,incomplete_answer;non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Direct LLM,T071,code_related,Code-Related,No,Write Python code that prints each valid convolution window in a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,calculation_error,calculation_error;factual_error,3,,,,,,,,,
Manager Without Recovery,T071,code_related,Code-Related,No,Write Python code that prints each valid convolution window in a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer;non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Full Manager,T071,code_related,Code-Related,No,Write Python code that prints each valid convolution window in a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,calculation_error,calculation_error;factual_error,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T072,code_related,Code-Related,No,Explain this Python mistake: using A + B instead of A @ B for matrix multiplication.,CodeSandboxTool;RAGTool,False,0,2.6666666666666665,3.333333333333333,3.333333333333333,2.6666666666666665,2.6666666666666665,2.933333333333333,0.5033222956847166,True,3,factual_error,calculation_error;factual_error,3,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,,,
Direct LLM,T072,code_related,Code-Related,No,Explain this Python mistake: using A + B instead of A @ B for matrix multiplication.,CodeSandboxTool;RAGTool,False,1,3.333333333333333,4.333333333333333,4.0,4.0,3.0,3.733333333333333,0.3055050463303894,True,2,factual_error,factual_error,2,,,,,,,,,
Full Manager,T072,code_related,Code-Related,No,Explain this Python mistake: using A + B instead of A @ B for matrix multiplication.,CodeSandboxTool;RAGTool,False,0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;irrelevant_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T072,code_related,Code-Related,No,Explain this Python mistake: using A + B instead of A @ B for matrix multiplication.,CodeSandboxTool;RAGTool,False,1,4.0,4.0,3.0,3.333333333333333,4.0,3.666666666666667,0.7023769168568494,False,0,incomplete_answer,incomplete_answer,1,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,No,No
Manager Without Recovery,T073,code_related,Code-Related,No,Explain this Python mistake: using matrix multiplication when the question asks for convolution.,CodeSandboxTool;RAGTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,No,No
Full Manager,T073,code_related,Code-Related,No,Explain this Python mistake: using matrix multiplication when the question asks for convolution.,CodeSandboxTool;RAGTool,False,0,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,1.2,0.3464101615137755,True,3,non_answer,incomplete_answer;non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,Yes,No
Manager Without Recovery,T074,code_related,Code-Related,No,"Write Python code to compute the dot product of [1,2] and [5,7].",CodeSandboxTool;CalculatorTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,non_answer,non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Basic Tool Use,T075,code_related,Code-Related,No,Write Python code to apply a 2x2 kernel to the top-left window of a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,False,0,2.333333333333333,2.333333333333333,3.0,2.333333333333333,2.333333333333333,2.466666666666667,0.4618802153517005,True,3,mixed:calculation_error|contradictory_answer|factual_error,calculation_error;contradictory_answer;factual_error,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,,,
Direct LLM,T075,code_related,Code-Related,No,Write Python code to apply a 2x2 kernel to the top-left window of a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,False,0,2.0,2.6666666666666665,2.6666666666666665,2.0,2.0,2.2666666666666666,0.2309401076758502,True,3,calculation_error,calculation_error,3,,,,,,,,,
Full Manager,T075,code_related,Code-Related,No,Write Python code to apply a 2x2 kernel to the top-left window of a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,False,0,1.6666666666666667,2.0,2.0,2.0,2.0,1.9333333333333331,0.1154700538379251,True,3,calculation_error,calculation_error;factual_error,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T075,code_related,Code-Related,No,Write Python code to apply a 2x2 kernel to the top-left window of a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.333333333333333,2.066666666666667,0.1154700538379252,True,3,incomplete_answer,incomplete_answer;non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Full Manager,T076,code_related,Code-Related,No,Write Python code to compare valid convolution output sizes for stride 1 and stride 2.,CodeSandboxTool;CalculatorTool,False,0,2.0,3.0,3.0,2.333333333333333,2.0,2.466666666666667,0.1154700538379252,True,3,calculation_error,calculation_error,3,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T076,code_related,Code-Related,No,Write Python code to compare valid convolution output sizes for stride 1 and stride 2.,CodeSandboxTool;CalculatorTool,False,0,2.333333333333333,2.333333333333333,2.0,2.0,2.6666666666666665,2.2666666666666666,0.3055050463303894,True,2,mixed:incomplete_answer|non_answer,incomplete_answer;non_answer,2,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,No,No,invalid,No,No
Basic Tool Use,T076,code_related,Code-Related,No,Write Python code to compare valid convolution output sizes for stride 1 and stride 2.,CodeSandboxTool;CalculatorTool,False,0,2.0,3.333333333333333,3.0,2.333333333333333,2.0,2.533333333333333,0.1154700538379252,True,3,calculation_error,calculation_error,3,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,,,
Manager Without Recovery,T077,code_related,Code-Related,No,Write Python code that explains matrix dimensions before multiplying matrices.,CodeSandboxTool;RAGTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Manager Without Recovery,T078,code_related,Code-Related,No,"Write Python code that validates input size, kernel size, stride, and padding for convolution.",CodeSandboxTool;CalculatorTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;non_answer,3,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,No,No,invalid,No,No
Direct LLM,T078,code_related,Code-Related,No,"Write Python code that validates input size, kernel size, stride, and padding for convolution.",CodeSandboxTool;CalculatorTool,False,1,3.333333333333333,4.333333333333333,4.333333333333333,4.0,3.333333333333333,3.8666666666666663,0.6429100507328634,True,2,mixed:calculation_error|factual_error,calculation_error;factual_error,2,,,,,,,,,
Manager Without Recovery,T079,code_related,Code-Related,No,Write Python code to generate a simple text-based visualization of kernel sliding.,CodeSandboxTool;VisualMatrixTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,non_answer,incomplete_answer;non_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,invalid,No,No
Full Manager,T080,code_related,Code-Related,No,Write Python code to generate a simple text-based visualization of matrix multiplication steps.,CodeSandboxTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.6666666666666665,2.333333333333333,2.0,2.2,0.1999999999999999,True,3,irrelevant_answer,factual_error;irrelevant_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T080,code_related,Code-Related,No,Write Python code to generate a simple text-based visualization of matrix multiplication steps.,CodeSandboxTool;VisualMatrixTool;MatrixComputationTool,False,0,2.333333333333333,2.6666666666666665,3.333333333333333,2.6666666666666665,2.0,2.6,0.3464101615137755,True,3,factual_error,contradictory_answer;factual_error,3,CodeSandboxTool;MatrixComputationTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;VisualMatrixTool,Yes,Yes,No,No,,,
Manager Without Recovery,T080,code_related,Code-Related,No,Write Python code to generate a simple text-based visualization of matrix multiplication steps.,CodeSandboxTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer,3,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,invalid,No,No
Basic Tool Use,T081,recovery_personalization_trace,Recovery / Personalization / Trace,No,"Explain convolution again, but make it easier than before.",TraceSearchTool;RAGTool,True,2,4.0,4.666666666666667,4.333333333333333,4.666666666666667,4.0,4.333333333333334,0.7023769168568492,True,1,calculation_error,calculation_error,1,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,,,
Manager Without Recovery,T083,recovery_personalization_trace,Recovery / Personalization / Trace,No,I still confuse filters and matrices. Explain the difference again.,TraceSearchTool;RAGTool,False,1,2.333333333333333,2.333333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.533333333333333,1.2858201014657271,True,2,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Full Manager,T084,recovery_personalization_trace,Recovery / Personalization / Trace,No,I already understand kernels. Explain stride without repeating the kernel definition too much.,TraceSearchTool;RAGTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;irrelevant_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Manager Without Recovery,T084,recovery_personalization_trace,Recovery / Personalization / Trace,No,I already understand kernels. Explain stride without repeating the kernel definition too much.,TraceSearchTool;RAGTool,False,0,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.2666666666666666,0.5773502691896257,False,0,none,,0,CalculatorTool;MatrixComputationTool;RAGTool,CalculatorTool;MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Direct LLM,T085,recovery_personalization_trace,Recovery / Personalization / Trace,No,I struggle with matrix dimensions. Explain matrix multiplication using a simpler example.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.0,2.333333333333333,3.0,2.333333333333333,2.0,2.333333333333333,0.2309401076758502,True,3,factual_error,calculation_error;factual_error,3,,,,,,,,,
Manager Without Recovery,T086,recovery_personalization_trace,Recovery / Personalization / Trace,No,I confused matrix multiplication with convolution before. Correct that misunderstanding.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer;irrelevant_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,No,No
