system,test_id,expected_tools,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,all_attempted_calls_success,expected_tool_fulfillment,round_count,attempted_call_count
manager_without_recovery,T073,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,3,9
manager_without_recovery,T074,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,3,8
manager_without_recovery,T075,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,4,7
manager_without_recovery,T076,CalculatorTool;CodeSandboxTool,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,No,No,No,4,9
manager_without_recovery,T077,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,2,4
manager_without_recovery,T078,CalculatorTool;CodeSandboxTool,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,No,No,No,3,6
manager_without_recovery,T079,CodeSandboxTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,No,4,12
manager_without_recovery,T080,CodeSandboxTool;MatrixComputationTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,No,3,9
manager_without_recovery,T081,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,5
manager_without_recovery,T082,CalculatorTool;RAGTool;TraceSearchTool,CalculatorTool;RAGTool;TraceSearchTool,CalculatorTool;RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,Yes,3,8
manager_without_recovery,T083,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,5
manager_without_recovery,T084,RAGTool;TraceSearchTool,CalculatorTool;MatrixComputationTool;RAGTool,CalculatorTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,2,3
manager_without_recovery,T085,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,2,4
manager_without_recovery,T086,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,2,6
manager_without_recovery,T087,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,1,3
manager_without_recovery,T088,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,5
manager_without_recovery,T089,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,2,6
manager_without_recovery,T090,CalculatorTool;RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,Yes,Yes,No,2,4
manager_without_recovery,T091,RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T092,RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T093,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,No,2,3
manager_without_recovery,T094,CalculatorTool;RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,No,2,3
manager_without_recovery,T095,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,No,No,Yes,Yes,Yes,3,7
manager_without_recovery,T096,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,3,5
manager_without_recovery,T097,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,No,No,No,No,No,2,4
manager_without_recovery,T098,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool;TraceSearchTool,No,No,No,No,No,3,5
manager_without_recovery,T099,RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,No,3,5
manager_without_recovery,T100,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,3,6
full_manager,T001,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
full_manager,T002,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,4
full_manager,T003,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,3,3
full_manager,T004,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
full_manager,T005,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
full_manager,T006,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
full_manager,T007,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
full_manager,T008,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
full_manager,T009,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,1,2
full_manager,T010,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
full_manager,T011,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,3,8
full_manager,T012,RAGTool,MatrixComputationTool,MatrixComputationTool,No,No,Yes,Yes,No,2,2
full_manager,T013,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
full_manager,T014,RAGTool,MatrixComputationTool;RAGTool,RAGTool,No,Yes,No,No,No,2,8
full_manager,T015,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,4
full_manager,T016,RAGTool,RAGTool,RAGTool,Yes,Yes,No,No,Yes,2,4
full_manager,T017,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
full_manager,T018,RAGTool,RAGTool,RAGTool,Yes,Yes,No,No,No,2,6
full_manager,T019,RAGTool,RAGTool,RAGTool,Yes,Yes,No,No,Yes,2,4
full_manager,T020,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
full_manager,T021,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
full_manager,T022,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
full_manager,T023,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
full_manager,T024,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
full_manager,T025,CalculatorTool,CalculatorTool;MatrixComputationTool;RAGTool,CalculatorTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,4,5
full_manager,T026,CalculatorTool,CalculatorTool;RAGTool,CalculatorTool;RAGTool,No,No,Yes,Yes,Yes,4,4
full_manager,T027,CalculatorTool,CalculatorTool;MatrixComputationTool;RAGTool,CalculatorTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,4,5
full_manager,T028,CalculatorTool,CalculatorTool;RAGTool,CalculatorTool;RAGTool,No,No,Yes,Yes,Yes,3,3
full_manager,T029,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,4
full_manager,T030,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,2,5
full_manager,T031,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,2,4
full_manager,T032,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,5
full_manager,T033,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,3,6
full_manager,T034,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,4,5
full_manager,T035,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,5,6
full_manager,T036,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,5
full_manager,T037,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,5
full_manager,T038,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,4
full_manager,T039,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,3
full_manager,T040,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,3
full_manager,T041,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T042,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,4
full_manager,T043,MatrixComputationTool;RAGTool;VisualMatrixTool,CalculatorTool;RAGTool,RAGTool,No,No,No,No,No,2,7
full_manager,T044,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T045,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T046,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T047,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T048,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T049,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,2,4
full_manager,T050,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool,RAGTool,No,No,No,No,No,2,4
full_manager,T051,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,RAGTool,No,No,No,No,No,2,8
full_manager,T052,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,RAGTool,No,No,No,No,No,2,8
full_manager,T053,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,RAGTool,No,No,No,No,No,3,11
full_manager,T054,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,8
full_manager,T055,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,3,9
full_manager,T056,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T057,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T058,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,2,5
full_manager,T059,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,3,7
full_manager,T060,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
full_manager,T061,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
full_manager,T062,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,3,10
full_manager,T063,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
full_manager,T064,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,5
full_manager,T065,CalculatorTool;CodeSandboxTool,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,Yes,Yes,Yes,4,9
full_manager,T066,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
full_manager,T067,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
full_manager,T068,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,4
full_manager,T069,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,Yes,4,11
full_manager,T070,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
full_manager,T071,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,4
full_manager,T072,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,3,9
full_manager,T073,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool;TraceSearchTool,No,No,No,No,No,3,23
full_manager,T074,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,8
full_manager,T075,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,5
full_manager,T076,CalculatorTool;CodeSandboxTool,CalculatorTool;CodeSandboxTool;RAGTool,CalculatorTool;CodeSandboxTool;RAGTool,No,No,Yes,Yes,Yes,4,9
full_manager,T077,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,Yes,2,8
full_manager,T078,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,Yes,No,No,4,11
full_manager,T079,CodeSandboxTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,Yes,Yes,Yes,4,12
full_manager,T080,CodeSandboxTool;MatrixComputationTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,Yes,Yes,Yes,2,7
full_manager,T081,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,5
full_manager,T082,CalculatorTool;RAGTool;TraceSearchTool,CalculatorTool;MatrixComputationTool;RAGTool;TraceSearchTool,CalculatorTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,3,8
full_manager,T083,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,5
full_manager,T084,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,2,3
full_manager,T085,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,2,4
full_manager,T086,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,No,No,No,2,14
full_manager,T087,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,6
full_manager,T088,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,2,5
full_manager,T089,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,No,No,No,2,14
full_manager,T090,CalculatorTool;RAGTool;TraceSearchTool,CalculatorTool;RAGTool;TraceSearchTool,CalculatorTool;RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,Yes,3,8
full_manager,T091,RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
full_manager,T092,RAGTool,CalculatorTool;RAGTool;TraceSearchTool,CalculatorTool;RAGTool,No,No,Yes,Yes,Yes,3,4
full_manager,T093,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,6
full_manager,T094,CalculatorTool;RAGTool,CalculatorTool;TraceSearchTool,CalculatorTool,No,No,Yes,Yes,No,2,3
full_manager,T095,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,Yes,Yes,Yes,Yes,3,10
full_manager,T096,MatrixComputationTool;RAGTool,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool,No,Yes,Yes,Yes,Yes,2,4
full_manager,T097,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,Yes,No,No,Yes,2,13
full_manager,T098,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool,No,Yes,Yes,Yes,Yes,3,6
full_manager,T099,RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,6
full_manager,T100,RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,3,8
